#共享	
OK	Confirmed
Final20_15	Accompanied by the sound of some electrical appliance going out of control,
Final20_16	You just know that the story of the stranger from beyond the heavens has not yet ended
#结局 21	
Final21_00	Nature has given me talents
Final21_01	You took him out of Arched Stone Village
Final21_02	Through the adventures, it revealed that the jianghu is full of camaraderie and righteousness
Final21_03	Watching your energetic smile,
Final21_04	Lu Yuanyu secretly resolved to make up his mind
Final21_05	To become a person like you
Final21_06	He was skilled at dealing with people
Final21_07	Soon a group of seemingly useless beggars gathered
Final21_08	Using the Beggar's Lodge as a base, start their own business
#结局 22	
Final22_00	When the rabbit dies, the dog gets cooked
Final22_01	You lead him out of Arched Stone Village, embarking on an adventure along the way
Final22_02	He also gradually grew and became stronger
Final22_03	Having followed you to campaign across the world for many years, he originally thought that upon achieving success and fame
Final22_04	Ultimately, I was pursued relentlessly by you, who did not want to share power and turned on me without mercy
Final22_05	Heartless and ruthless, flexible in changing circumstances—these became his life's motto
Final22_06	He was adept at dealing with people, and he quickly made a comeback
Final22_07	Gathered a group of seemingly useless beggars,
Final22_08	Using the Beggar's Quarters as a base, start their own business
#结局 23	
Final23_00	Tempered gaze
Final23_01	Originally, I would have spent my entire life at Taoshi Guildmaster's Manor
Final23_02	I don't understand the outside world
Final23_03	Not knowing the story of their grandparents
Final23_04	Don't know you
Final23_05	Fortunately, we met
Final23_06	Brother, thank you. I will be fine
Final23_07	You too
#结局 24	
Final24_00	Jiang shan mei ren
Final24_01	A beautiful woman can be a source of trouble. A beauty who captivates the whole nation
Final24_02	Facing your subordinates' response to your proposition,
Final24_03	You laugh it off without any concern,
Final24_04	Embrace the bewitching beauties with roguish smiles at your side into your arms
Final24_05	Controlling the world entirely, you recalled that moment,
Final24_06	At that time, the ones who chose to stand by your side were them
Final24_07	Craving a sense of long-term belonging and support,
Final24_08	That was another one who upheld the righteous way
Final24_09	I can only think about what I am unable to give my family when thinking of returning home
Final24_10	So you've made a decision, you will satisfy them,
Final24_11	Give them a future without loneliness
Final24_12	But today,
Final24_13	What is their true position in your heart?
Final24_14	Examine your conscience and ask yourself, you finally understand
Final24_15	They are ultimately just your esteemed position's pastime
Final24_16	Companionship, Favoritism,
Final24_17	That is all the grace bestowed upon you as the master
Final24_18	Yu de bangli cong lai bu shi shenme meiren
Final24_19	But rather this picturesque landscape, supreme power
#自宫	
cutyourself	Refine the practice of the Remnant Flower Treasure Mirror
cutyourself02	Do you still wish to practice this martial art, which requires castration?
